sku,variant_image,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,image11,image12,image13,image14,image15,del image
2000270,https://s2s-image.s3.amazonaws.com/e7a0f640fef018b46e048e14244ca2a4.jpg,https://s2s-image.s3.amazonaws.com/c76664f343bd341051a936c4625be17f.jpg,,,,,,,,,,,,,,,1
4000120,https://s2s-image.s3.amazonaws.com/97d00ad478688cf393cd06138ddd6289.jpg,https://s2s-image.s3.amazonaws.com/bd771d061cd0f666d44ede469da4ebf4.jpg,https://s2s-image.s3.amazonaws.com/cf557667fc69e7ec2c9467751c759eab.jpg,https://s2s-image.s3.amazonaws.com/9a4c55ec40d97f8ab27a8c62c19764db.jpg,https://s2s-image.s3.amazonaws.com/56e17689bf137abe0242d210b904eb74.jpg,https://s2s-image.s3.amazonaws.com/390c1ee7d86bfbf478e6acb985664e8f.jpg,https://s2s-image.s3.amazonaws.com/25142d159b55b83f3086721514f1dd46.jpg,https://s2s-image.s3.amazonaws.com/8a5a5f55c2ac762f8df3935f507563fa.jpg,https://s2s-image.s3.amazonaws.com/01d3a1f6713459a3b916ca701f299603.jpg,https://s2s-image.s3.amazonaws.com/ab4a27152081923fd196f1b3928cffa9.jpg,,,,,,,1
1500057,https://s2s-image.s3.amazonaws.com/6b610bfbaed540cdfb8db81fa6bd0261.png,https://s2s-image.s3.amazonaws.com/b044788e64c3658d84e864b370379a8f.png,https://s2s-image.s3.amazonaws.com/223df5cebe7e7f11e0116104206e8905.png,https://s2s-image.s3.amazonaws.com/b61be6f655f8282667bb391e754aeaf7.png,,,,,,,,,,,,,1
2000293,https://s2s-image.s3.amazonaws.com/a33550bb9e48183bdbc76a250d6c8e40.jpg,,,,,,,,,,,,,,,,1
1300030,https://s2s-image.s3.amazonaws.com/8ead38e70bd3fb2baf6ee70030c974fb.jpg,https://s2s-image.s3.amazonaws.com/4499a3eb0f6173a6565a4b823654c733.jpg,https://s2s-image.s3.amazonaws.com/afc3c688c47bdb0c7b815b0f4b5fe0bb.jpg,https://s2s-image.s3.amazonaws.com/9e4cbc1f5137facae5875666dc201416.jpg,,,,,,,,,,,,,1
8000829,https://s2s-image.s3.amazonaws.com/5642125fe55adf7596481873c5b4261d.jpg,https://s2s-image.s3.amazonaws.com/72f6423f01fd3abd0d35cb293201e581.jpg,https://s2s-image.s3.amazonaws.com/04b8fdcbb5559ca128a739e9759a752a.jpg,https://s2s-image.s3.amazonaws.com/21d8c6f5082d13f0d8e5392495b5d443.jpg,,,,,,,,,,,,,1
8000838,https://s2s-image.s3.amazonaws.com/ba71bdf88fddcbfa8c8e01787083aa78.jpg,https://s2s-image.s3.amazonaws.com/8b8de12e3943a9b202d4a444c8bc0c4f.jpg,https://s2s-image.s3.amazonaws.com/8016090e4b1ffa5437d43bf24fdffba7.jpg,https://s2s-image.s3.amazonaws.com/d425d3e3e5886c6dbbb571dd5949d51f.jpg,,,,,,,,,,,,,1
4000164,https://s2s-image.s3.amazonaws.com/540ff753b49d74297ca1fc81d59c603d.jpg,https://s2s-image.s3.amazonaws.com/246b1e32917e4c4b2adf30cebf7faff9.jpg,https://s2s-image.s3.amazonaws.com/110cff8879b0ec0f628d33119587d259.jpg,,,,,,,,,,,,,,1
1100362,https://s2s-image.s3.amazonaws.com/a98cee97be96d823966f8518022179a1.jpg,https://s2s-image.s3.amazonaws.com/197a98c471ee592a38577fb049780e7d.jpg,,,,,,,,,,,,,,,1
1300062,https://s2s-image.s3.amazonaws.com/05f1a742c310a45d0ae61b946ab6f909.jpg,https://s2s-image.s3.amazonaws.com/6b80b0a723eafe4849bdce34abf775a1.jpg,https://s2s-image.s3.amazonaws.com/0ea6815ced9e7866ab4c043bee719121.jpg,https://s2s-image.s3.amazonaws.com/746c9d157c145bef689751ba2008ad8f.jpg,,,,,,,,,,,,,1
2000303,https://s2s-image.s3.amazonaws.com/c232198c4e3913818b9c2e7e87e9e9d6.jpg,https://s2s-image.s3.amazonaws.com/d0e1545b11078c870c00bf9f6f78743e.jpg,https://s2s-image.s3.amazonaws.com/cd52c992e06a50ef9344eebccefa6114.jpg,,,,,,,,,,,,,,1
2000321,https://s2s-image.s3.amazonaws.com/db797185ff5ca643579eaf4743b7414f.jpg,https://s2s-image.s3.amazonaws.com/0477175d63c609119d84c8ec0deec8ef.jpg,https://s2s-image.s3.amazonaws.com/fbee813fd8d2118f2100659a10f1d835.jpg,https://s2s-image.s3.amazonaws.com/45a9764d30a37b4366ca55e735801382.jpg,https://s2s-image.s3.amazonaws.com/8300565dd7b9a609ad8831b6839b3004.jpg,,,,,,,,,,,,1
4000176,https://s2s-image.s3.amazonaws.com/5aa555bb7a0aea3d7526d7328d97fa25.jpg,https://s2s-image.s3.amazonaws.com/22b0fc1e4cdce123b6fddbc9902015df.jpg,https://s2s-image.s3.amazonaws.com/fd2e985dc6bcfe0cea6ff3f735470411.jpg,https://s2s-image.s3.amazonaws.com/6e548898b35277699e1ccbb47f776559.jpg,https://s2s-image.s3.amazonaws.com/d4616206d6e218cc76e0cf9fda79cd6c.jpg,https://s2s-image.s3.amazonaws.com/0e73b82ed6cae21ef746d52e92bc098f.jpg,https://s2s-image.s3.amazonaws.com/160d623febc6af8da27fd87a2a16cbbf.jpg,,,,,,,,,,1
4000178,https://s2s-image.s3.amazonaws.com/16a7b344b65e3cb250c13965d4549e49.jpg,,,,,,,,,,,,,,,,1
8000816,https://s2s-image.s3.amazonaws.com/179c6865816aafb7c43c4a6674a1c284.jpg,https://s2s-image.s3.amazonaws.com/bedda74601cacaad1a7ef46680c2d3e3.jpg,https://s2s-image.s3.amazonaws.com/660ae1222450e19a8ccc29eab93425db.jpg,https://s2s-image.s3.amazonaws.com/64bf17cd8d612754578ad924a12882ec.jpg,,,,,,,,,,,,,1
4000136,https://s2s-image.s3.amazonaws.com/3aef2ea1046e2d5a58da9277175e6420.jpg,,,,,,,,,,,,,,,,1
4000137,https://s2s-image.s3.amazonaws.com/a2b3255e4c647add93a63c8cc3cf5bb3.jpg,https://s2s-image.s3.amazonaws.com/e80ee18c9248467694bced4a3f680477.jpg,https://s2s-image.s3.amazonaws.com/ce5ee119967aea84e8423d083c201a6e.jpg,https://s2s-image.s3.amazonaws.com/dd74a2e25ba5205df13e8c6566627d56.jpg,https://s2s-image.s3.amazonaws.com/f8de35df7f5bd6832f29ab9c951528c3.jpg,,,,,,,,,,,,1
8000845,https://s2s-image.s3.amazonaws.com/792a592d202c3e8c2748a81f0de9f18c.jpg,https://s2s-image.s3.amazonaws.com/6fb39d94139d486f40ab2cf65b1fffae.jpg,,,,,,,,,,,,,,,1
8000846,https://s2s-image.s3.amazonaws.com/e12246a56c19ad3e23ebdfb9d4585a63.jpg,https://s2s-image.s3.amazonaws.com/7d8be92fe34896f12abb124052184654.jpg,,,,,,,,,,,,,,,1
1300058,https://s2s-image.s3.amazonaws.com/028645df414c081cae69fffe0bda6d07.jpg,https://s2s-image.s3.amazonaws.com/7aadc9df5df1cd245c3393f5f8f8309b.jpg,https://s2s-image.s3.amazonaws.com/37d77e91dfc441ceeab6e055c9c37880.jpg,,,,,,,,,,,,,,1
1300059,https://s2s-image.s3.amazonaws.com/b61851aa993e44ca14b2d2f319ef7738.jpg,https://s2s-image.s3.amazonaws.com/86d0773166edbd95be424b89770542e9.jpg,https://s2s-image.s3.amazonaws.com/be8b7f69fb0b85aedf7b58fb2799cf60.jpg,,,,,,,,,,,,,,1
8000937,https://s2s-image.s3.amazonaws.com/a4d701713ba2170efe60c4b32b2b2894.jpg,https://s2s-image.s3.amazonaws.com/792122545c169b1f57d4aa82448ddc23.jpg,https://s2s-image.s3.amazonaws.com/178c94ed5cd5f964f0630723b058972c.jpg,,,,,,,,,,,,,,1
4000136 A,https://s2s-image.s3.amazonaws.com/3aef2ea1046e2d5a58da9277175e6420.jpg,,,,,,,,,,,,,,,,1
4000136 C,https://s2s-image.s3.amazonaws.com/f3f4f4e789eef845549d0b26c3be91cc.jpg,,,,,,,,,,,,,,,,1
2000348,https://s2s-image.s3.amazonaws.com/5516eb7c19bbaa0c8615951b48c3cdd7.jpg,https://s2s-image.s3.amazonaws.com/3088939e2d9ac55c983ad19164dc8d35.jpg,https://s2s-image.s3.amazonaws.com/1b7811bcfa45c8bc05da551e945b2746.jpg,,,,,,,,,,,,,,1
8000902,https://s2s-image.s3.amazonaws.com/d62a6c7ae63c43db5a83701211d54e57.jpg,https://s2s-image.s3.amazonaws.com/29ddaf6d104761c122cbf33930039704.jpg,https://s2s-image.s3.amazonaws.com/4f291f262770f9ea23debafcebf031fc.jpg,,,,,,,,,,,,,,1
8000903,https://s2s-image.s3.amazonaws.com/385490749c3c23b027eb2d8349a0534f.jpg,https://s2s-image.s3.amazonaws.com/9c4ca546743f5c082c4032aa8de20e82.jpg,,,,,,,,,,,,,,,1
8000905,https://s2s-image.s3.amazonaws.com/f87439fd2395be2fcf9cb4d34722d8aa.jpg,,,,,,,,,,,,,,,,1
3000244,https://s2s-image.s3.amazonaws.com/d73a9604b31ca674b7bd028983afa2a8.jpg,https://s2s-image.s3.amazonaws.com/98a92a247f2c8b6a47491fc0bba0eae8.jpg,https://s2s-image.s3.amazonaws.com/bb93dc686ec286ffc40bafc89bc23e51.jpg,https://s2s-image.s3.amazonaws.com/2bf977dff4b63c3d988f95cd7fe71d69.jpg,,,,,,,,,,,,,1
1500069,https://s2s-image.s3.amazonaws.com/0990b660e1a86378ff031def3df96491.jpg,https://s2s-image.s3.amazonaws.com/e8c530ee0295e0546ea4cced0b60744a.jpg,https://s2s-image.s3.amazonaws.com/c44fc44d3b749d0fddf467d53d7a59fa.jpg,https://s2s-image.s3.amazonaws.com/0e0515a017a2c4c271a9b2460ab7541a.jpg,https://s2s-image.s3.amazonaws.com/ecbeb723b532f9bea199b84828ef2648.jpg,https://s2s-image.s3.amazonaws.com/5183c35a0a88b48eda7ee4f611191859.jpg,https://s2s-image.s3.amazonaws.com/fdaccc88fb96848e5323c62bdb41aee7.jpg,,,,,,,,,,1
8000970,https://s2s-image.s3.amazonaws.com/d8f8ef02d171283fff54bbdbe92849a0.jpg,https://s2s-image.s3.amazonaws.com/fdbccc08c3945c275535f16a5832b7da.jpg,https://s2s-image.s3.amazonaws.com/f5c2ac18a9cbd4211b0eae4122b180ce.jpg,https://s2s-image.s3.amazonaws.com/14d87d77dd7a103cd0759336e46de917.jpg,https://s2s-image.s3.amazonaws.com/e3b0c3e2faa5f8d659613c4a7837b648.jpg,https://s2s-image.s3.amazonaws.com/f0557d953b7e5c00630779b7cb7d7e82.jpg,,,,,,,,,,,1
3000247,https://s2s-image.s3.amazonaws.com/d7edee5f7ea51c575bb0c31228b51248.jpg,https://s2s-image.s3.amazonaws.com/f252cfb4618bdead9a457a397ced006c.jpg,https://s2s-image.s3.amazonaws.com/ae1ad5221bc21105c7fe4c1e93fe563c.jpg,https://s2s-image.s3.amazonaws.com/65f76ff1e5509038698acbc98633e326.jpg,,,,,,,,,,,,,1
3000248,https://s2s-image.s3.amazonaws.com/cf75bdbf106e4677e4f0c8a57d68589a.jpg,https://s2s-image.s3.amazonaws.com/184881618e143a32413c4d0cbadc16bc.jpg,https://s2s-image.s3.amazonaws.com/e2e0583d50c1db1d999a8a03a4bd9ddd.jpg,https://s2s-image.s3.amazonaws.com/30867ccb915baee33cac784efa7a2e4d.jpg,,,,,,,,,,,,,1
3000249,https://s2s-image.s3.amazonaws.com/fa82e514d8f0b359bed30e5084edf0f8.jpg,https://s2s-image.s3.amazonaws.com/74943b7069a3e7081d9048cf043eb834.jpg,https://s2s-image.s3.amazonaws.com/c482db6637dd26df5df6ce00151de3f1.jpg,https://s2s-image.s3.amazonaws.com/06548f91f7cbb391d2624c230b824c68.jpg,,,,,,,,,,,,,1
3000250,https://s2s-image.s3.amazonaws.com/25fe26b4da94cedbbe0c25890d48acf3.jpg,https://s2s-image.s3.amazonaws.com/72f978f0af183fdaaaf3013eb316d4a8.jpg,https://s2s-image.s3.amazonaws.com/2d033f2b9e2720ef69c88b31f54ca55c.jpg,https://s2s-image.s3.amazonaws.com/8877985ab0ea6ecaa4f86730d8561338.jpg,,,,,,,,,,,,,1
1001941,https://gm-stock2shop.s3.amazonaws.com/1f437daffe55fac9ab3e2ba9d538b8e71cfafb56.jpg,https://gm-stock2shop.s3.amazonaws.com/640db984b06f938bed6a81d8fa05290ba0609cf6.jpg,,,,,,,,,,,,,,,1
8000700,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/264f873d963a1b7eec135ef4167d66d585b2d044.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/49e90258eea29700acc56a0ca9df1f8b5580d3c8.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/baf5de30907c2aeeb8efbbee1306accb30cc0604.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/69c7b58274c7b9afa56660bd5e6cf92e1c6e0c2e.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/e650359d93082b09601f5d4d25434e2b440521bd.jpg,,,,,,,,,,,,1
8000662,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/c7cc45a05eb76dde2e791b222ec54ad543819890.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/4a33faf74f2dfaf6a482953f19d6607fb86017dc.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/2bddf54e0a90404fccce9a567da59509e185a333.jpg,,,,,,,,,,,,,,1
251378,https://s2s-image.s3.amazonaws.com/4f180178c4ac56e1c7a93d7817246e62.jpg,,,,,,,,,,,,,,,,1
2000252,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/2e469f4ee25adfb635d760057be67ebc34c36af8.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/cd9e5e943e0849b04eb2baef8b665cc63cc1451d.jpg,https://s3-eu-west-1.amazonaws.com/gm-stock2shop/7a261d3cd8a8804ff49fff73ebe90b0e2f001121.jpg,,,,,,,,,,,,,,1
2000339,https://s2s-image.s3.amazonaws.com/92b843551d618b335ce6cb847a24d887.jpg,https://s2s-image.s3.amazonaws.com/8bde7b041095fc256665d0af661ee2f7.jpg,https://s2s-image.s3.amazonaws.com/c2db20d73b21522666031a9ef90f9726.jpg,,,,,,,,,,,,,,1
3000208,https://s2s-image.s3.amazonaws.com/e8edb0a62c21ddc82d70f656335b6762.jpg,https://s2s-image.s3.amazonaws.com/e57303aa669ca945fac54590c60c12b4.jpg,https://s2s-image.s3.amazonaws.com/8d074ea9e2a507e2678493cebdb7a41f.jpg,https://s2s-image.s3.amazonaws.com/aa8c0078454c29cf7132ee1f3e25f8c5.jpg,https://s2s-image.s3.amazonaws.com/03fa6b7b8e5d604fa7f6cd507d48a646.jpg,,,,,,,,,,,,1
8000988,https://s2s-image.s3.amazonaws.com/3c157cd04b2ce6547012adafb57c9e3e.jpg,https://s2s-image.s3.amazonaws.com/cf705edcdf3f847ab158946525c2fcfc.jpg,https://s2s-image.s3.amazonaws.com/35b6e369da558e260ba0c74e804352f7.jpg,https://s2s-image.s3.amazonaws.com/aa217a441523aa64068bd004da803bbb.jpg,https://s2s-image.s3.amazonaws.com/125f3fd1c6ec6302df79666280ca17c4.jpg,https://s2s-image.s3.amazonaws.com/4b3857f2ddbe174f51f2cf1e8057bc69.jpg,,,,,,,,,,,1
8000990,https://s2s-image.s3.amazonaws.com/59819b5cd828792dd57173a0496a8fc1.jpg,https://s2s-image.s3.amazonaws.com/68e9fdd1d07abbb78f8348841116b6ab.jpg,https://s2s-image.s3.amazonaws.com/83d937b2027b3700a6ab43c053d5718d.jpg,,,,,,,,,,,,,,1
4000180,https://s2s-image.s3.amazonaws.com/0819135197efe002ddf1fffc9fe0f2d9.jpg,https://s2s-image.s3.amazonaws.com/9e5d90f3d9c9f12ff458e81eeabb2759.jpg,https://s2s-image.s3.amazonaws.com/d8bdea5498ba316087ac73bcb3347b5e.jpg,https://s2s-image.s3.amazonaws.com/288586942acc171d299e9d727525147c.jpg,,,,,,,,,,,,,1
